instance         | our makespan | microsec   | deviation from given makespans
j12027_3.sm      | 166          | 405700     | 5,06
j12027_4.sm      | 136          | 398600     | 14,29
j12027_5.sm      | 139          | 223700     | 14,88
j12027_6.sm      | 176          | 274200     | 7,98
j12027_7.sm      | 149          | 239700     | 8,76
j12027_8.sm      | 169          | 240000     | 9,03
j12027_9.sm      | 160          | 237000     | 11,89
j12028_1.sm      | 128          | 223600     | 9,40
j12028_10.sm     | 134          | 237000     | 3,88
j12028_2.sm      | 129          | 231500     | 9,32
j12028_3.sm      | 103          | 278400     | -0,96  New Best Makespan!
j12028_4.sm      | 137          | 315800     | 8,73
j12028_5.sm      | 107          | 386400     | 4,90
j12028_6.sm      | 117          | 372000     | 0,86
j12028_7.sm      | 132          | 322000     | 9,09
j12028_8.sm      | 123          | 360100     | 13,89
j12028_9.sm      | 119          | 370700     | 10,19
j12029_1.sm      | 107          | 216600     | 2,88
j12029_10.sm     | 97           | 214900     | -2,02  New Best Makespan!
j12029_2.sm      | 96           | 225800     | 5,49
j12029_3.sm      | 108          | 220200     | -0,92  New Best Makespan!
j12029_4.sm      | 95           | 304500     | 9,20
j12029_5.sm      | 110          | 310400     | 3,77
j12029_6.sm      | 112          | 329700     | 13,13
j12029_7.sm      | 101          | 305700     | 4,12
j12029_8.sm      | 91           | 318800     | 4,60
j12029_9.sm      | 102          | 314100     | 5,15
j1202_1.sm       | 103          | 212300     | 9,57
j1202_10.sm      | 110          | 229900     | 2,80
j1202_2.sm       | 85           | 330500     | 7,59
j1202_3.sm       | 111          | 435500     | 5,71
j1202_4.sm       | 117          | 163900     | 13,59
j1202_5.sm       | 109          | 211000     | -2,68  New Best Makespan!
j1202_6.sm       | 105          | 304600     | 11,70
j1202_7.sm       | 100          | 380200     | 3,09
j1202_8.sm       | 93           | 360800     | 8,14
j1202_9.sm       | 110          | 343400     | 6,80
j12030_1.sm      | 105          | 362000     | -0,94  New Best Makespan!
j12030_10.sm     | 95           | 338800     | 10,47
j12030_2.sm      | 112          | 376200     | 0,00
j12030_3.sm      | 108          | 373600     | 0,00
j12030_4.sm      | 91           | 247100     | 9,64
j12030_5.sm      | 97           | 345200     | 4,30
j12030_6.sm      | 79           | 360400     | 0,00
j12030_7.sm      | 102          | 240600     | 5,15
j12030_8.sm      | 79           | 229900     | -4,82  New Best Makespan!
j12030_9.sm      | 97           | 220700     | 4,30
